Time,Load,pv,PV,wind
2025-01-03 04:45:00+00:00,5.191,-0.75,-0.75,53250974.5800721
2025-01-03 05:00:00+00:00,5.302,-0.75,-0.75,49541406.39693257
2025-01-03 05:15:00+00:00,5.448,-0.75,-0.75,44032342.163987115
2025-01-03 05:30:00+00:00,5.646,-0.75,-0.75,37421097.3596257
2025-01-03 05:45:00+00:00,5.901,-0.75,-0.75,31274192.093075097
2025-01-03 06:00:00+00:00,5.958,-0.75,-0.75,26574232.420382895
2025-01-03 06:15:00+00:00,6.107,-0.75,-0.75,24653066.164411563
2025-01-03 06:30:00+00:00,6.134,-0.75,-0.75,22802432.23601959
2025-01-03 06:45:00+00:00,6.082,-0.75,-0.75,19890583.891758554
2025-01-03 07:00:00+00:00,5.885,-0.75,-0.75,17923588.47019956
2025-01-03 07:15:00+00:00,5.871,-0.75,-0.75,16691705.629201785
2025-01-03 07:30:00+00:00,5.676,-0.75,-0.75,13640095.195660701
2025-01-03 07:45:00+00:00,5.408,408.0478160479413,408.0478160454023,10787604.533018244
2025-01-03 08:00:00+00:00,5.253,1413.56660016742,1413.5666001601076,8884925.38285118
2025-01-03 08:15:00+00:00,5.01,2165.214165425817,2165.2141654133534,8068201.027464643
2025-01-03 08:30:00+00:00,4.928,2500.0,2500.0,8129977.815804405
2025-01-03 08:45:00+00:00,4.991,2500.0,2500.0,7246118.090685559
2025-01-03 09:00:00+00:00,4.941,2500.0,2500.0,5552784.447095707
2025-01-03 09:15:00+00:00,5.13,2500.0,2500.0,2882701.9012957136
2025-01-03 09:30:00+00:00,5.292,2262.837203845551,2262.8372038600455,1514541.2450349675
2025-01-03 09:45:00+00:00,5.722,1569.8327650219526,1569.8327650252647,906865.4856683068
2025-01-03 10:00:00+00:00,5.054,576.2571378346394,576.257137830107,614645.7752107687
2025-01-03 10:15:00+00:00,6.503,-0.75,-0.75,396589.78811558126
2025-01-03 10:30:00+00:00,7.139,-0.75,-0.75,275088.7394873055
2025-01-03 10:45:00+00:00,7.252,-0.75,-0.75,177873.54724166944
2025-01-03 11:00:00+00:00,6.574,-0.75,-0.75,147321.81953393715
2025-01-03 11:15:00+00:00,7.193,-0.75,-0.75,226373.49329186976
2025-01-03 11:30:00+00:00,7.338,-0.75,-0.75,414158.2799668522
2025-01-03 11:45:00+00:00,7.468,-0.75,-0.75,506880.8758485603
2025-01-03 12:00:00+00:00,7.611,-0.75,-0.75,478432.5499913554
2025-01-03 12:15:00+00:00,7.639,-0.75,-0.75,517143.5161048175
2025-01-03 12:30:00+00:00,7.046,-0.75,-0.75,812492.2553397878
2025-01-03 12:45:00+00:00,7.284,-0.75,-0.75,861925.1686860113
2025-01-03 13:00:00+00:00,7.165,-0.75,-0.75,660131.5192276622
2025-01-03 13:15:00+00:00,7.039,-0.75,-0.75,658093.3445194265
2025-01-03 13:30:00+00:00,6.776,-0.75,-0.75,762198.1414126199
2025-01-03 13:45:00+00:00,6.63,456.8815333258003,456.8815333248785,898870.6736085372
2025-01-03 14:00:00+00:00,5.848,1588.4279829179698,1588.427982928236,824333.7633277773
2025-01-03 14:15:00+00:00,6.188,2500.0,2500.0,860575.9544425318
2025-01-03 14:30:00+00:00,5.706,2500.0,2500.0,1154588.1088861316
2025-01-03 14:45:00+00:00,5.323,2500.0,2500.0,1497460.7668462307
2025-01-03 15:00:00+00:00,4.717,2500.0,2500.0,1123412.6478559359
2025-01-03 15:15:00+00:00,4.378,2500.0,2500.0,836763.7583794117
2025-01-03 15:30:00+00:00,4.492,2500.0,2500.0,287547.4412249717
2025-01-03 15:45:00+00:00,4.381,2195.1261912392024,2195.126191240369,168543.87428143583
2025-01-03 16:00:00+00:00,4.669,850.1929320264046,850.1929320256525,345664.12709572015
2025-01-03 16:15:00+00:00,4.959,-0.75,-0.75,592024.9066179557
2025-01-03 16:30:00+00:00,6.06,-0.75,-0.75,913252.7233103133
2025-01-03 16:45:00+00:00,6.473,-0.75,-0.75,974986.4516210293
2025-01-03 17:00:00+00:00,7.066,-0.75,-0.75,856729.2585143123
2025-01-03 17:15:00+00:00,7.867,-0.75,-0.75,710468.6931838775
2025-01-03 17:30:00+00:00,11.665,-0.75,-0.75,739462.4460756811
2025-01-03 17:45:00+00:00,12.05,-0.75,-0.75,824032.3431244468
2025-01-03 18:00:00+00:00,12.195,-0.75,-0.75,883139.4096632815
2025-01-03 18:15:00+00:00,12.207,-0.75,-0.75,1006477.6861975727
2025-01-03 18:30:00+00:00,12.231,-0.75,-0.75,1016194.8994192309
2025-01-03 18:45:00+00:00,12.225,-0.75,-0.75,933419.1702474337
2025-01-03 19:00:00+00:00,12.112,-0.75,-0.75,852939.9759581558
2025-01-03 19:15:00+00:00,11.994,-0.75,-0.75,667595.2575958491
2025-01-03 19:30:00+00:00,11.871,-0.75,-0.75,341716.9577663909
2025-01-03 19:45:00+00:00,12.152,144.9054594270599,144.905459425531,382609.63201824646
2025-01-03 20:00:00+00:00,12.003,747.2498226391521,747.2498226359453,553055.5803302098
2025-01-03 20:15:00+00:00,11.776,1514.024191274329,1514.0241912707525,497522.49620229536
2025-01-03 20:30:00+00:00,11.531,2155.37965603446,2155.3796560284936,341874.844539564
2025-01-03 20:45:00+00:00,11.317,2500.0,2500.0,200853.24940987647
2025-01-03 21:00:00+00:00,11.062,2083.5386399433683,2083.5386399173153,579537.4981942581
2025-01-03 21:15:00+00:00,10.736,2145.0865188154085,2145.0865188077196,945906.5786711313
2025-01-03 21:30:00+00:00,10.587,2239.6339408937224,2239.633940884873,1037653.1472277689
2025-01-03 21:45:00+00:00,10.354,1651.4502596774546,1651.4502596758934,1166817.1571355464
2025-01-03 22:00:00+00:00,6.678,650.4064953073527,650.4064953066584,1499010.927891931
2025-01-03 22:15:00+00:00,6.391,-0.75,-0.75,1764432.946939075
2025-01-03 22:30:00+00:00,6.194,-0.75,-0.75,2080981.5738083
2025-01-03 22:45:00+00:00,5.903,-0.75,-0.75,2507936.1151546314
2025-01-03 23:00:00+00:00,5.758,-0.75,-0.75,2785501.0623930944
2025-01-03 23:15:00+00:00,5.662,-0.75,-0.75,3725754.5912931263
2025-01-03 23:30:00+00:00,5.536,-0.75,-0.75,5186828.025230537
2025-01-03 23:45:00+00:00,5.409,-0.75,-0.75,5456875.409064507
2025-01-04 00:00:00+00:00,5.358,-0.75,-0.75,6258454.988876847
2025-01-04 00:15:00+00:00,5.323,-0.75,-0.75,5988433.525973827
2025-01-04 00:30:00+00:00,5.286,-0.75,-0.75,5066895.079326734
2025-01-04 00:45:00+00:00,5.23,-0.75,-0.75,4500863.8208293505
2025-01-04 01:00:00+00:00,5.177,-0.75,-0.75,5212158.087317572
2025-01-04 01:15:00+00:00,5.177,-0.75,-0.75,7494603.164974124
2025-01-04 01:30:00+00:00,5.158,-0.75,-0.75,7530582.2114669215
2025-01-04 01:45:00+00:00,5.141,435.2406289617932,435.2406289616165,8317221.959892459
2025-01-04 02:00:00+00:00,5.105,1532.3104828321868,1532.3104828307924,9341859.273309724
2025-01-04 02:15:00+00:00,5.123,2500.0,2500.0,8750424.989898315
